Number of data,Reference,Experiment No,Train/Test Set,Catalyst,Base,Base wt%,Base 2,Base 2 wt%,Support,Support wt%,Support 2,Catalyst preparation method,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time  (h),Reduction  H2 %,Temperature (C),Pressure (bar),W/F (mgcat/minml),Time on Stream (h),CO % in feed,Inert % in feed,CH4 % in feed,H2O % in feed,H2/CO2 in feed,CO2 Conversion %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",1,Train,NiO/CeO2,NiO,30,None,0,CeO2,70,None,CP,450,4,450,1,2,60,200,1,2,,0,25,0,0,4,2.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",1,Train,NiO/CeO2,NiO,30,None,0,CeO2,70,None,CP,450,4,450,1,2,60,250,1,2,,0,25,0,0,4,18.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",1,Train,NiO/CeO2,NiO,30,None,0,CeO2,70,None,CP,450,4,450,1,2,60,300,1,2,,0,25,0,0,4,57.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",1,Train,NiO/CeO2,NiO,30,None,0,CeO2,70,None,CP,450,4,450,1,2,60,350,1,2,,0,25,0,0,4,68.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",1,Train,NiO/CeO2,NiO,30,None,0,CeO2,70,None,CP,450,4,450,1,2,60,400,1,2,,0,25,0,0,4,68.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",2,Test,NiO/CeO2-Y2O3,NiO,30,Y2O3,30,CeO2,40,None,CP,450,4,450,1,2,60,200,1,2,,0,25,0,0,4,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",2,Test,NiO/CeO2-Y2O3,NiO,30,Y2O3,30,CeO2,40,None,CP,450,4,450,1,2,60,250,1,2,,0,25,0,0,4,41.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",2,Test,NiO/CeO2-Y2O3,NiO,30,Y2O3,30,CeO2,40,None,CP,450,4,450,1,2,60,300,1,2,,0,25,0,0,4,70.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",2,Test,NiO/CeO2-Y2O3,NiO,30,Y2O3,30,CeO2,40,None,CP,450,4,450,1,2,60,350,1,2,,0,25,0,0,4,77.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Zhu M, Tian P, Cao X, Chen J, Pu T, Shi B, et al. Vacancy engineering of the nickel-based catalysts for enhanced CO2 methanation. Appl Catal B Environ 2021;282:119561. https://doi.org/10.1016/j.apcatb.2020.119561.",2,Test,NiO/CeO2-Y2O3,NiO,30,Y2O3,30,CeO2,40,None,CP,450,4,450,1,2,60,400,1,2,,0,25,0,0,4,75.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
